epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,36750.3,1.78197,0.85817,1.06333,0.73729,0.48588,0.54848,0.31494,1.7437,0.80602,1.05855,0.00166149,0.00166149,0.00166149
76,37240.9,1.77845,0.85538,1.06235,0.64003,0.4857,0.54929,0.31525,1.74354,0.80553,1.05815,0.00154982,0.00154982,0.00154982
77,37730.6,1.776,0.85292,1.06094,0.63659,0.48819,0.54937,0.31536,1.74347,0.80497,1.05781,0.00144161,0.00144161,0.00144161
78,38220.5,1.77322,0.8519,1.06099,0.63586,0.48974,0.55,0.31532,1.74327,0.80451,1.05756,0.00133695,0.00133695,0.00133695
79,38710.5,1.77558,0.85118,1.06045,0.63701,0.48995,0.55063,0.31528,1.74302,0.80389,1.05724,0.00123596,0.00123596,0.00123596
80,39200.3,1.77164,0.84864,1.05907,0.63726,0.4899,0.55111,0.31552,1.74297,0.80346,1.05693,0.00113873,0.00113873,0.00113873
81,39690.4,1.76729,0.84532,1.05826,0.63997,0.48951,0.55173,0.31574,1.74288,0.80295,1.05663,0.00104537,0.00104537,0.00104537
82,40180.4,1.76622,0.84376,1.05829,0.64201,0.48812,0.55194,0.31609,1.74294,0.80243,1.05647,0.000955951,0.000955951,0.000955951
83,40670.7,1.76247,0.84081,1.05742,0.6387,0.49055,0.55223,0.31634,1.74307,0.80198,1.05632,0.000870577,0.000870577,0.000870577
84,41160.3,1.76197,0.84068,1.0564,0.64041,0.48974,0.55261,0.31654,1.74321,0.80152,1.05615,0.000789327,0.000789327,0.000789327
85,41650.1,1.7602,0.83863,1.05612,0.63827,0.49216,0.55298,0.31671,1.74346,0.80107,1.05605,0.000712282,0.000712282,0.000712282
86,42106.9,1.76978,0.81187,1.05848,0.64163,0.49066,0.55335,0.317,1.74351,0.80092,1.05584,0.000639518,0.000639518,0.000639518
87,42562.4,1.76281,0.80567,1.0566,0.64342,0.48901,0.55362,0.31715,1.74347,0.80073,1.05566,0.000571106,0.000571106,0.000571106
88,43018.2,1.76032,0.80322,1.05713,0.64186,0.48961,0.5537,0.31716,1.74348,0.80044,1.05558,0.000507115,0.000507115,0.000507115
